tick,frame,fps,collect_s,learn_s,episodes,success_rate,fail_rate,timeout_rate,critic_loss,actor_loss,q1,target_q,stddev,replay_size,updates
3150,100800,24.4,0.711,32.105,0,0.0000,0.0000,0.0000,0.028885,0.018505,-0.03493,-0.03462,0.28118,100800,400
3175,101600,24.7,0.677,31.658,0,0.0000,0.0000,0.0000,0.031850,0.010838,-0.02705,-0.02711,0.28103,101600,400
3200,102400,24.7,0.696,31.755,0,0.0000,0.0000,0.0000,0.034258,0.013829,-0.03234,-0.03219,0.28089,102400,400
3225,103200,24.5,0.673,32.016,0,0.0000,0.0000,0.0000,0.045754,-0.000066,-0.01572,-0.01537,0.28074,103200,400
3250,104000,24.8,0.715,31.520,2,0.0000,0.0000,1.0000,0.044299,-0.002637,-0.01602,-0.01590,0.28059,104000,400
3275,104800,24.5,0.767,31.941,4,0.0000,0.0000,1.0000,0.036469,-0.008080,-0.00836,-0.00840,0.28044,104800,400
3300,105600,24.8,0.672,31.540,0,0.0000,0.0000,0.0000,0.031900,-0.015857,-0.00106,-0.00084,0.28029,105600,400
3325,106400,24.5,0.711,31.917,0,0.0000,0.0000,0.0000,0.030735,-0.029778,0.01086,0.01075,0.28014,106400,400
3350,107200,24.7,0.702,31.687,1,0.0000,1.0000,0.0000,0.029281,-0.042992,0.02403,0.02448,0.27999,107200,400
3375,108000,24.4,0.777,31.963,25,0.0000,0.0400,0.9600,0.045107,-0.055297,0.03385,0.03402,0.27984,108000,400
3400,108800,24.7,0.699,31.639,0,0.0000,0.0000,0.0000,0.045544,-0.086850,0.06176,0.06253,0.27969,108800,400
3425,109600,24.6,0.674,31.782,0,0.0000,0.0000,0.0000,0.034700,-0.128819,0.09882,0.09967,0.27954,109600,400
3450,110400,24.6,0.772,31.719,8,0.0000,1.0000,0.0000,0.084223,-0.357126,0.34833,0.34888,0.27939,110400,400
3475,111200,24.6,0.789,31.705,7,0.0000,1.0000,0.0000,0.127683,-0.505650,0.56815,0.56673,0.27924,111200,400
3500,112000,24.9,0.701,31.475,3,0.0000,1.0000,0.0000,0.149207,-0.433061,0.51235,0.51226,0.27909,112000,400
3525,112800,24.7,0.678,31.703,0,0.0000,0.0000,0.0000,0.123049,-0.501968,0.48614,0.48638,0.27894,112800,400
3550,113600,24.7,0.709,31.681,0,0.0000,0.0000,0.0000,0.124170,-0.339567,0.31898,0.31899,0.27879,113600,400
3575,114400,24.7,0.686,31.685,0,0.0000,0.0000,0.0000,0.093721,-0.212478,0.17720,0.17778,0.27865,114400,400
3600,115200,24.7,0.688,31.667,0,0.0000,0.0000,0.0000,0.077582,-0.213592,0.18462,0.18509,0.27850,115200,400
3625,116000,24.6,0.705,31.829,1,0.0000,0.0000,1.0000,0.079280,-0.211387,0.17874,0.17886,0.27835,116000,400
3650,116800,24.8,0.670,31.607,0,0.0000,0.0000,0.0000,0.074577,-0.199857,0.17276,0.17230,0.27820,116800,400
3675,117600,24.7,0.697,31.658,0,0.0000,0.0000,0.0000,0.064778,-0.196607,0.17073,0.17084,0.27805,117600,400
3700,118400,24.6,0.661,31.811,0,0.0000,0.0000,0.0000,0.050416,-0.181098,0.15693,0.15672,0.27790,118400,400
3725,119200,24.8,0.691,31.622,1,0.0000,0.0000,1.0000,0.078890,-0.171673,0.14291,0.14243,0.27775,119200,400
3750,120000,24.5,0.726,31.917,12,0.0000,0.0000,1.0000,0.070151,-0.174147,0.14569,0.14536,0.27760,120000,400
3775,120800,24.7,0.684,31.691,0,0.0000,0.0000,0.0000,0.087589,-0.185538,0.15327,0.15339,0.27745,120800,400
3800,121600,24.8,0.709,31.559,0,0.0000,0.0000,0.0000,0.052286,-0.194703,0.16499,0.16478,0.27730,121600,400
3825,122400,24.6,0.775,31.747,8,0.0000,0.0000,1.0000,0.061166,-0.195991,0.16553,0.16551,0.27715,122400,400
3850,123200,24.6,0.781,31.709,9,0.0000,0.0000,1.0000,0.064711,-0.211688,0.17702,0.17684,0.27700,123200,400
3875,124000,24.9,0.701,31.435,1,0.0000,0.0000,1.0000,0.055636,-0.244454,0.20739,0.20782,0.27685,124000,400
3900,124800,24.7,0.724,31.669,0,0.0000,0.0000,0.0000,0.060849,-0.277325,0.24050,0.24081,0.27670,124800,400
3925,125600,24.5,0.689,31.968,0,0.0000,0.0000,0.0000,0.049652,-0.298992,0.26244,0.26251,0.27655,125600,400
3950,126400,24.8,0.692,31.565,0,0.0000,0.0000,0.0000,0.047121,-0.302013,0.26898,0.26923,0.27641,126400,400
3975,127200,24.6,0.711,31.756,0,0.0000,0.0000,0.0000,0.058199,-0.320479,0.28631,0.28639,0.27626,127200,400
4000,128000,24.7,0.731,31.605,1,0.0000,0.0000,1.0000,0.053443,-0.312271,0.28231,0.28238,0.27611,128000,400
4025,128800,24.7,0.668,31.773,0,0.0000,0.0000,0.0000,0.051580,-0.308461,0.27905,0.27915,0.27596,128800,400
4050,129600,24.5,0.702,31.917,0,0.0000,0.0000,0.0000,0.062901,-0.292226,0.26419,0.26422,0.27581,129600,400
4075,130400,24.8,0.703,31.492,0,0.0000,0.0000,0.0000,0.053694,-0.289016,0.26336,0.26350,0.27566,130400,400
4100,131200,24.7,0.718,31.706,1,0.0000,0.0000,1.0000,0.056254,-0.290188,0.26280,0.26302,0.27551,131072,400
4125,132000,24.7,0.708,31.648,12,0.0000,0.0000,1.0000,0.045619,-0.263525,0.23497,0.23461,0.27536,131072,400
4150,132800,24.7,0.684,31.754,0,0.0000,0.0000,0.0000,0.050440,-0.254078,0.22766,0.22792,0.27521,131072,400
4175,133600,24.5,0.710,31.987,0,0.0000,0.0000,0.0000,0.041460,-0.237144,0.21056,0.21021,0.27506,131072,400
4200,134400,24.6,0.793,31.678,9,0.0000,0.0000,1.0000,0.048269,-0.215191,0.19352,0.19320,0.27491,131072,400
4225,135200,24.5,0.836,31.767,9,0.0000,0.0000,1.0000,0.047915,-0.195778,0.17345,0.17324,0.27476,131072,400
4250,136000,24.7,0.680,31.654,0,0.0000,0.0000,0.0000,0.034965,-0.177825,0.15443,0.15425,0.27461,131072,400
4275,136800,24.6,0.678,31.812,0,0.0000,0.0000,0.0000,0.040331,-0.156788,0.13562,0.13522,0.27446,131072,400
4300,137600,24.5,0.733,31.857,2,0.0000,1.0000,0.0000,0.039289,-0.133971,0.11337,0.11308,0.27431,131072,400
4325,138400,24.5,0.692,32.015,0,0.0000,0.0000,0.0000,0.059006,-0.112571,0.09189,0.09120,0.27417,131072,400
4350,139200,24.6,0.674,31.811,0,0.0000,0.0000,0.0000,0.054229,-0.105136,0.08473,0.08448,0.27402,131072,400
4375,140000,24.5,0.731,31.870,1,0.0000,0.0000,1.0000,0.043431,-0.091885,0.07037,0.06988,0.27387,131072,400
4400,140800,24.6,0.670,31.830,0,0.0000,0.0000,0.0000,0.046197,-0.084323,0.06202,0.06169,0.27372,131072,400
4425,141600,24.6,0.688,31.866,0,0.0000,0.0000,0.0000,0.040201,-0.081514,0.05987,0.05954,0.27357,131072,400
4450,142400,24.5,0.707,31.937,0,0.0000,0.0000,0.0000,0.038629,-0.074415,0.05397,0.05345,0.27342,131072,400
4475,143200,24.5,0.725,31.876,1,0.0000,0.0000,1.0000,0.035498,-0.056428,0.03723,0.03687,0.27327,131072,400
4500,144000,24.8,0.713,31.586,10,0.0000,0.0000,1.0000,0.040629,-0.044376,0.02365,0.02339,0.27312,131072,400
4525,144800,24.5,0.671,31.940,0,0.0000,0.0000,0.0000,0.051317,-0.033289,0.01438,0.01416,0.27297,131072,400
4550,145600,24.7,0.681,31.720,0,0.0000,0.0000,0.0000,0.039153,-0.020883,0.00071,-0.00009,0.27282,131072,400
4575,146400,24.5,0.775,31.857,9,0.0000,0.0000,1.0000,0.035659,-0.006708,-0.01197,-0.01217,0.27267,131072,400
4600,147200,24.7,0.789,31.604,9,0.0000,0.0000,1.0000,0.032819,0.001632,-0.02021,-0.02078,0.27252,131072,400
4625,148000,24.6,0.685,31.779,0,0.0000,0.0000,0.0000,0.052755,0.006821,-0.02584,-0.02618,0.27237,131072,400
4650,148800,24.4,0.710,32.026,0,0.0000,0.0000,0.0000,0.040272,0.015566,-0.03686,-0.03713,0.27222,131072,400
4675,149600,24.6,0.750,31.774,2,0.0000,0.0000,1.0000,0.028927,0.023652,-0.03938,-0.03975,0.27207,131072,400
4700,150400,24.8,0.653,31.577,0,0.0000,0.0000,0.0000,0.036347,0.025907,-0.04581,-0.04605,0.27193,131072,400
4725,151200,24.8,0.688,31.570,0,0.0000,0.0000,0.0000,0.038213,0.031359,-0.05109,-0.05152,0.27178,131072,400
4750,152000,24.7,0.707,31.636,1,0.0000,0.0000,1.0000,0.033441,0.041980,-0.06134,-0.06148,0.27163,131072,400
4775,152800,24.7,0.678,31.663,0,0.0000,0.0000,0.0000,0.035710,0.040189,-0.05940,-0.05993,0.27148,131072,400
4800,153600,24.6,0.697,31.760,0,0.0000,0.0000,0.0000,0.033363,0.051245,-0.06950,-0.06988,0.27133,131072,400
4825,154400,24.6,0.675,31.854,0,0.0000,0.0000,0.0000,0.039259,0.058230,-0.07751,-0.07760,0.27118,131072,400
4850,155200,24.3,0.729,32.193,1,0.0000,0.0000,1.0000,0.026133,0.058224,-0.07659,-0.07688,0.27103,131072,400
4875,156000,24.7,0.695,31.721,10,0.0000,0.0000,1.0000,0.023057,0.065185,-0.08414,-0.08426,0.27088,131072,400
4900,156800,24.8,0.666,31.634,0,0.0000,0.0000,0.0000,0.034913,0.071511,-0.08935,-0.08956,0.27073,131072,400
4925,157600,24.7,0.669,31.724,0,0.0000,0.0000,0.0000,0.022734,0.076156,-0.09335,-0.09375,0.27058,131072,400
4950,158400,24.5,0.817,31.897,9,0.0000,0.0000,1.0000,0.044277,0.075358,-0.09474,-0.09521,0.27043,131072,400
4975,159200,24.6,0.808,31.705,9,0.0000,0.0000,1.0000,0.035916,0.077909,-0.09743,-0.09769,0.27028,131072,400
5000,160000,24.6,0.703,31.769,0,0.0000,0.0000,0.0000,0.035686,0.076129,-0.09469,-0.09456,0.27013,131072,400
5025,160800,24.6,0.700,31.884,0,0.0000,0.0000,0.0000,0.031911,0.083921,-0.10205,-0.10225,0.26998,131072,400
5050,161600,24.6,0.722,31.768,2,0.0000,0.0000,1.0000,0.029776,0.081504,-0.10182,-0.10210,0.26983,131072,400
5075,162400,24.7,0.678,31.768,0,0.0000,0.0000,0.0000,0.028201,0.089692,-0.10919,-0.10932,0.26969,131072,400
5100,163200,24.6,0.683,31.796,0,0.0000,0.0000,0.0000,0.030554,0.092423,-0.11199,-0.11216,0.26954,131072,400
5125,164000,24.6,0.721,31.761,1,0.0000,0.0000,1.0000,0.029761,0.095182,-0.11562,-0.11576,0.26939,131072,400
5150,164800,24.6,0.671,31.859,0,0.0000,0.0000,0.0000,0.023754,0.095311,-0.11544,-0.11570,0.26924,131072,400
