frame,tick,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout
5152,161,117.4191,6.6277,1.5000,0.0000,0.8043,1.0000,1.0000,-0.0059,0,0,0,0
5184,162,109.8335,6.6339,1.5000,0.0000,0.0033,1.0000,-1.0000,0.0107,0,0,0,0
5216,163,116.9212,6.5920,1.5000,0.0000,0.9672,-0.5422,0.8987,-0.0101,0,0,0,0
5248,164,108.5625,6.5917,1.5000,0.0000,0.0646,0.0358,-1.0000,0.0037,0,0,0,0
5280,165,111.1373,6.5548,1.5000,0.0000,0.9613,0.5581,0.2552,0.0131,0,0,0,0
5312,166,119.6052,6.5044,1.5000,0.0000,1.0000,0.0956,1.0000,-0.0268,0,0,0,0
5344,167,110.4129,6.4921,1.5000,0.0000,0.5054,-1.0000,-1.0000,0.0254,0,0,0,0
5376,168,117.0932,6.4530,1.5000,0.0000,0.8832,-0.7528,0.8715,-0.0138,0,0,0,0
5408,169,108.6421,6.4602,1.5000,0.0000,-0.1164,-0.0698,-1.0000,0.0038,0,0,0,0
5440,170,117.5646,6.4175,1.5000,0.0000,0.9647,0.6645,1.0000,-0.0075,0,0,0,0
5472,171,108.4293,6.3901,1.5000,0.0000,0.7305,-0.9228,-1.0000,0.0093,0,0,0,0
5504,172,115.8152,6.3495,1.5000,0.0000,1.0000,0.3298,0.8501,0.0010,0,0,0,0
5536,173,108.5439,6.3607,1.5000,0.0000,-0.2878,-0.7359,-0.7924,-0.0028,0,0,0,0
5568,174,99.9641,6.3211,1.5000,0.0000,0.4076,-0.1815,-1.0000,-0.0364,0,0,0,0
5600,175,91.8344,6.2626,1.5000,0.0000,0.2842,0.4732,-1.0000,-0.0320,0,0,0,0
5632,176,83.5385,6.2057,1.5000,0.0000,-0.3462,0.3795,-1.0000,-0.0329,0,0,0,0
5664,177,87.4868,6.2010,1.5000,0.0000,0.8227,1.0000,0.3715,0.0152,0,0,0,0
5696,178,79.1042,6.1347,1.5000,0.0000,-0.4123,0.3774,-1.0000,-0.0321,0,0,0,0
5728,179,86.2390,6.1637,1.5000,0.0000,1.0000,0.2052,0.8155,0.0252,0,0,0,0
5760,180,78.9666,6.0553,1.5000,0.0000,0.8145,1.0000,-0.9113,-0.0219,0,0,0,0
5792,181,85.2662,6.0756,1.5000,0.0000,1.0000,0.2971,0.7103,0.0226,0,0,0,0
5824,182,79.2477,5.9875,1.5000,0.0000,0.7259,0.3354,-0.7028,-0.0189,0,0,0,0
5856,183,83.9447,5.9861,1.5000,0.0000,1.0000,1.0000,0.4561,0.0182,0,0,0,0
5888,184,80.2121,5.9196,1.5000,0.0000,0.6901,0.5663,-0.4669,-0.0114,0,0,0,0
5920,185,89.4357,5.9546,1.5000,0.0000,1.0000,0.7812,1.0000,0.0338,0,0,0,0
5952,186,81.4243,5.9102,1.5000,0.0000,-0.7228,0.6637,-1.0000,-0.0332,0,0,0,0
5984,187,89.2814,5.9451,1.5000,0.0000,0.6143,0.9856,0.8138,0.0277,0,0,0,0
6016,188,84.6972,5.9048,1.5000,0.0000,-0.0731,0.9687,-0.6302,-0.0184,0,0,0,0
6048,189,76.3487,5.8256,1.5000,0.0000,-0.1737,0.5176,-1.0000,-0.0304,0,0,0,0
6080,190,84.2852,5.8705,1.5000,0.0000,1.0000,-0.4337,0.9675,0.0268,0,0,0,0
6112,191,76.3923,5.7858,1.5000,0.0000,0.0610,0.6398,-0.9561,-0.0277,0,0,0,0
6144,192,84.9972,5.8351,1.5000,0.0000,0.9094,-0.0256,1.0000,0.0293,0,0,0,0
6176,193,76.9576,5.7352,1.5000,0.0000,0.4159,0.9461,-1.0000,-0.0264,0,0,0,0
6208,194,85.9122,5.7831,1.5000,0.0000,0.8622,0.3627,1.0000,0.0310,0,0,0,0
