phase,checkpoint,frame,episode,t,env_id,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
offline_val,drqv2_062400.pt,1996800,0,1,63,-1.0000,0.0000,1.5000,0.0000,-0.3819,-0.7686,-0.2001,-0.0348,0,0,0,0,-0.0153,-0.0307,-0.0126,3.5617,-3.5001
offline_val,drqv2_062400.pt,1996800,0,1,64,115.9900,5.0423,1.5000,0.0000,1.0000,1.0000,-1.0000,0.9970,0,0,0,0,0.0400,0.0400,-0.0628,5.0629,-0.4270
offline_val,drqv2_062400.pt,1996800,0,1,65,202.4843,5.7377,1.5000,0.0000,1.0000,-0.9998,-1.0000,0.9970,0,0,0,0,0.0400,-0.0400,-0.0628,5.5221,-4.2822
offline_val,drqv2_062400.pt,1996800,0,1,66,125.5852,6.4147,1.5000,0.0000,1.0000,1.0000,1.0000,0.9970,0,0,0,0,0.0400,0.0400,0.0628,6.4830,-0.2088
offline_val,drqv2_062400.pt,1996800,0,1,67,21.6927,4.6420,1.5000,0.0000,1.0000,1.0000,0.9998,0.9970,0,0,0,0,0.0400,0.0400,0.0628,4.4756,3.4659
offline_val,drqv2_062400.pt,1996800,0,1,68,140.7991,5.9524,1.5000,0.0000,1.0000,1.0000,-1.0000,0.9970,0,0,0,0,0.0400,0.0400,-0.0628,5.9000,-1.6155
offline_val,drqv2_062400.pt,1996800,0,1,69,0.3493,4.6219,1.5000,0.0000,-0.2041,0.6112,0.0829,0.9970,0,0,0,0,-0.0082,0.0244,0.0052,4.5936,3.9146
offline_val,drqv2_062400.pt,1996800,0,1,70,53.3709,2.1885,1.5000,0.0000,0.7846,0.9908,0.9958,0.9970,0,0,0,0,0.0314,0.0396,0.0626,2.1555,1.1359
offline_val,drqv2_062400.pt,1996800,0,1,71,136.0461,2.3414,1.5000,0.0000,1.0000,0.9882,-1.0000,0.9970,0,0,0,0,0.0400,0.0395,-0.0628,2.3503,-0.5285
offline_val,drqv2_062400.pt,1996800,0,1,72,53.9906,6.2982,1.5000,0.0000,1.0000,1.0000,-0.9808,0.9970,0,0,0,0,0.0400,0.0400,-0.0616,6.4948,2.3841
offline_val,drqv2_062400.pt,1996800,0,1,73,-1.0000,0.0000,1.5000,0.0000,-0.6252,0.3593,-0.8804,-0.0172,0,0,0,0,-0.0250,0.0144,-0.0553,5.1762,4.5877
offline_val,drqv2_062400.pt,1996800,0,1,74,120.6164,2.0445,1.5000,0.0000,1.0000,-0.9574,-0.9957,0.9970,0,0,0,0,0.0400,-0.0383,-0.0626,2.0723,-0.2979
offline_val,drqv2_062400.pt,1996800,0,1,75,176.7374,5.3562,1.5000,0.0000,1.0000,0.5341,0.2120,0.9970,0,0,0,0,0.0400,0.0214,0.0133,5.4303,-2.5049
offline_val,drqv2_062400.pt,1996800,0,1,76,139.6091,2.5824,1.5000,0.0000,1.0000,0.3646,-1.0000,0.9970,0,0,0,0,0.0400,0.0146,-0.0628,2.5838,-0.6807
offline_val,drqv2_062400.pt,1996800,0,1,77,139.4081,5.3710,1.5000,0.0000,1.0000,1.0000,-0.9961,0.9970,0,0,0,0,0.0400,0.0400,-0.0626,5.3315,-1.3966
offline_val,drqv2_062400.pt,1996800,0,1,78,173.6329,3.8740,1.5000,0.0000,1.0000,0.9819,-1.0000,0.9970,0,0,0,0,0.0400,0.0393,-0.0628,3.7940,-1.9892
offline_val,drqv2_062400.pt,1996800,0,1,79,172.3504,5.3256,1.5000,0.0000,1.0000,0.9934,0.9837,0.9970,0,0,0,0,0.0400,0.0397,0.0618,5.5042,-2.0346
offline_val,drqv2_062400.pt,1996800,0,1,80,23.2463,4.8109,1.5000,0.0000,1.0000,1.0000,0.9924,0.9970,0,0,0,0,0.0400,0.0400,0.0624,4.6422,3.5325
offline_val,drqv2_062400.pt,1996800,0,1,81,223.6407,4.1441,1.5000,0.0000,0.3564,-0.8572,-0.9948,0.9970,0,0,0,0,0.0143,-0.0343,-0.0625,3.9338,-3.7526
offline_val,drqv2_062400.pt,1996800,0,1,82,180.5013,3.8021,1.5000,0.0000,1.0000,-0.9931,-0.9582,0.9970,0,0,0,0,0.0400,-0.0397,-0.0602,3.7178,-2.2162
offline_val,drqv2_062400.pt,1996800,0,1,83,211.6833,3.2745,1.5000,0.0000,-0.9178,-0.2514,-1.0000,0.9970,0,0,0,0,-0.0367,-0.0101,-0.0628,3.0778,-2.6563
offline_val,drqv2_062400.pt,1996800,0,1,84,203.0632,5.6639,1.5000,0.0000,0.9955,-0.9943,-1.0000,0.9970,0,0,0,0,0.0398,-0.0398,-0.0628,5.4499,-4.2520
offline_val,drqv2_062400.pt,1996800,0,1,85,20.5058,4.8167,1.5000,0.0000,1.0000,0.9962,0.9993,0.9970,0,0,0,0,0.0400,0.0398,0.0628,4.6401,3.6373
offline_val,drqv2_062400.pt,1996800,0,1,86,135.5074,5.0022,1.5000,0.0000,1.0000,1.0000,1.0000,0.9970,0,0,0,0,0.0400,0.0400,0.0628,5.0877,-0.5252
offline_val,drqv2_062400.pt,1996800,0,1,87,38.2743,3.4731,1.5000,0.0000,1.0000,0.9996,1.0000,0.9970,0,0,0,0,0.0400,0.0400,0.0628,3.3858,2.1726
offline_val,drqv2_062400.pt,1996800,0,1,88,62.4772,3.7089,1.5000,0.0000,1.0000,1.0000,1.0000,0.9970,0,0,0,0,0.0400,0.0400,0.0628,3.6552,1.6463
offline_val,drqv2_062400.pt,1996800,0,1,89,140.9246,2.0307,1.5000,0.0000,1.0000,0.9997,-1.0000,0.9970,0,0,0,0,0.0400,0.0400,-0.0628,2.0391,-0.5267
offline_val,drqv2_062400.pt,1996800,0,1,90,56.9121,4.5916,1.5000,0.0000,1.0000,1.0000,-0.8105,0.9970,0,0,0,0,0.0400,0.0400,-0.0509,4.7221,1.6988
offline_val,drqv2_062400.pt,1996800,0,1,91,-1.0000,0.0000,1.5000,0.0000,0.0821,-0.0368,-0.9212,0.0088,0,0,0,0,0.0033,-0.0015,-0.0579,2.7673,2.6921
offline_val,drqv2_062400.pt,1996800,0,1,92,149.0681,5.8283,1.5000,0.0000,1.0000,1.0000,0.5233,0.9970,0,0,0,0,0.0400,0.0400,0.0329,5.9183,-1.3861
offline_val,drqv2_062400.pt,1996800,0,1,93,151.0875,5.2272,1.5000,0.0000,1.0000,1.0000,-0.9998,0.9970,0,0,0,0,0.0400,0.0400,-0.0628,5.1608,-1.8159
offline_val,drqv2_062400.pt,1996800,0,1,94,-1.0000,0.0000,1.5000,0.0000,-0.6856,0.4384,0.6510,-0.0266,0,0,0,0,-0.0274,0.0175,0.0409,1.6598,1.5706
offline_val,drqv2_062400.pt,1996800,0,1,95,97.5755,3.0121,1.5000,0.0000,1.0000,-1.0000,1.0000,0.9970,0,0,0,0,0.0400,-0.0400,0.0628,3.0257,0.4740
offline_val,drqv2_062400.pt,1996800,0,1,96,-1.0000,0.0000,1.5000,0.0000,-0.6462,0.2476,-0.9761,-0.0142,0,0,0,0,-0.0258,0.0099,-0.0613,4.1064,3.5588
offline_val,drqv2_062400.pt,1996800,0,1,97,59.2439,5.1781,1.5000,0.0000,1.0000,1.0000,0.9996,0.9970,0,0,0,0,0.0400,0.0400,0.0628,5.0794,2.4076
offline_val,drqv2_062400.pt,1996800,0,1,98,77.8244,3.4751,1.5000,0.0000,1.0000,1.0000,1.0000,0.9970,0,0,0,0,0.0400,0.0400,0.0628,3.4524,1.1462
offline_val,drqv2_062400.pt,1996800,0,1,99,120.3071,2.9813,1.5000,0.0000,1.0000,0.9854,-1.0000,0.9970,0,0,0,0,0.0400,0.0394,-0.0628,3.0038,-0.3330
offline_val,drqv2_062400.pt,1996800,0,1,100,22.1149,4.3819,1.5000,0.0000,-0.7942,1.0000,1.0000,0.9970,0,0,0,0,-0.0318,0.0400,0.0628,4.1562,3.2602
offline_val,drqv2_062400.pt,1996800,0,1,101,88.2696,4.1318,1.5000,0.0000,1.0000,1.0000,-0.9960,0.9970,0,0,0,0,0.0400,0.0400,-0.0626,4.2096,0.5147
offline_val,drqv2_062400.pt,1996800,0,1,102,80.0315,3.2980,1.5000,0.0000,1.0000,1.0000,-1.0000,0.9970,0,0,0,0,0.0400,0.0400,-0.0628,3.3811,0.6213
offline_val,drqv2_062400.pt,1996800,0,1,103,89.3695,3.0411,1.5000,0.0000,1.0000,-1.0000,1.0000,0.9970,0,0,0,0,0.0400,-0.0400,0.0628,3.0427,0.6655
offline_val,drqv2_062400.pt,1996800,0,1,104,205.8398,4.7117,1.5000,0.0000,-0.4363,-0.8504,-1.0000,0.9970,0,0,0,0,-0.0175,-0.0340,-0.0628,4.4770,-3.6359
offline_val,drqv2_062400.pt,1996800,0,1,105,62.5991,5.8349,1.5000,0.0000,1.0000,1.0000,0.9998,0.9970,0,0,0,0,0.0400,0.0400,0.0628,5.7278,2.5616
offline_val,drqv2_062400.pt,1996800,0,1,106,145.8189,3.7009,1.5000,0.0000,1.0000,-0.9993,0.9923,0.9970,0,0,0,0,0.0400,-0.0400,0.0623,3.7921,-0.7453
offline_val,drqv2_062400.pt,1996800,0,1,107,-1.0000,0.0000,1.5000,0.0000,-0.9586,0.1648,-0.8451,-0.0388,0,0,0,0,-0.0383,0.0066,-0.0531,3.7386,3.2221
offline_val,drqv2_062400.pt,1996800,0,1,108,79.6976,4.3973,1.5000,0.0000,1.0000,1.0000,-1.0000,0.9970,0,0,0,0,0.0400,0.0400,-0.0628,4.4955,0.8260
offline_val,drqv2_062400.pt,1996800,0,1,109,164.5391,3.0358,1.5000,0.0000,1.0000,1.0000,-1.0000,0.9970,0,0,0,0,0.0400,0.0400,-0.0628,2.9947,-1.3432
offline_val,drqv2_062400.pt,1996800,0,1,110,47.6007,4.3182,1.5000,0.0000,1.0000,1.0000,-0.9999,0.9970,0,0,0,0,0.0400,0.0400,-0.0628,4.4805,1.8482
offline_val,drqv2_062400.pt,1996800,0,1,111,47.4029,4.8115,1.5000,0.0000,1.0000,1.0000,-1.0000,0.9970,0,0,0,0,0.0400,0.0400,-0.0628,4.9882,2.0619
offline_val,drqv2_062400.pt,1996800,0,1,112,108.9624,3.4888,1.5000,0.0000,1.0000,-1.0000,1.0000,0.9970,0,0,0,0,0.0400,-0.0400,0.0628,3.5169,0.2583
offline_val,drqv2_062400.pt,1996800,0,1,113,25.4192,1.7988,1.5000,0.0000,-0.2441,1.0000,1.0000,0.9970,0,0,0,0,-0.0098,0.0400,0.0628,1.7122,1.3174
offline_val,drqv2_062400.pt,1996800,0,1,114,-1.0000,0.0000,1.5000,0.0000,-0.3458,0.1081,-0.9832,0.0033,0,0,0,0,-0.0138,0.0043,-0.0618,1.7041,-1.6530
offline_val,drqv2_062400.pt,1996800,0,1,115,72.9660,3.9960,1.5000,0.0000,1.0000,1.0000,-0.9968,0.9970,0,0,0,0,0.0400,0.0400,-0.0626,4.1013,0.9562
offline_val,drqv2_062400.pt,1996800,0,1,116,75.8665,5.9113,1.5000,0.0000,1.0000,1.0000,-0.8126,0.9970,0,0,0,0,0.0400,0.0400,-0.0511,6.0252,1.3365
offline_val,drqv2_062400.pt,1996800,0,1,117,65.7541,3.8280,1.5000,0.0000,1.0000,1.0000,0.9995,0.9970,0,0,0,0,0.0400,0.0400,0.0628,3.7772,1.6039
offline_val,drqv2_062400.pt,1996800,0,1,118,149.1561,4.3757,1.5000,0.0000,1.0000,0.9993,-0.9875,0.9970,0,0,0,0,0.0400,0.0400,-0.0620,4.3317,-1.4471
offline_val,drqv2_062400.pt,1996800,0,1,119,65.2232,5.5019,1.5000,0.0000,1.0000,1.0000,-1.0000,0.9970,0,0,0,0,0.0400,0.0400,-0.0628,5.6521,1.6189
offline_val,drqv2_062400.pt,1996800,0,1,120,45.1188,3.7800,1.5000,0.0000,1.0000,1.0000,0.9992,0.9970,0,0,0,0,0.0400,0.0400,0.0628,3.6938,2.1675
offline_val,drqv2_062400.pt,1996800,0,1,121,178.1148,2.6146,1.5000,0.0000,1.0000,-0.1642,-1.0000,0.9970,0,0,0,0,0.0400,-0.0066,-0.0628,2.5681,-1.4633
offline_val,drqv2_062400.pt,1996800,0,1,122,22.5720,2.6423,1.5000,0.0000,0.9844,1.0000,1.0000,0.9970,0,0,0,0,0.0394,0.0400,0.0628,2.5653,1.9728
offline_val,drqv2_062400.pt,1996800,0,1,123,185.3094,3.6011,1.5000,0.0000,1.0000,0.9978,-1.0000,0.9970,0,0,0,0,0.0400,0.0399,-0.0628,3.5098,-2.1602
offline_val,drqv2_062400.pt,1996800,0,1,124,206.3823,2.3675,1.5000,0.0000,-0.8714,-0.9899,-1.0000,0.9970,0,0,0,0,-0.0349,-0.0396,-0.0628,2.2229,-1.8590
offline_val,drqv2_062400.pt,1996800,0,1,125,120.7055,3.3576,1.5000,0.0000,1.0000,-1.0000,1.0000,0.9970,0,0,0,0,0.0400,-0.0400,0.0628,3.4048,-0.0477
offline_val,drqv2_062400.pt,1996800,0,1,126,160.4914,2.8829,1.5000,0.0000,1.0000,1.0000,-0.9996,0.9970,0,0,0,0,0.0400,0.0400,-0.0628,2.8514,-1.1862
offline_val,drqv2_062400.pt,1996800,0,1,127,48.4885,3.8371,1.5000,0.0000,1.0000,1.0000,-0.9326,0.9970,0,0,0,0,0.0400,0.0400,-0.0586,3.9774,1.6379
offline_val,drqv2_062400.pt,1996800,0,2,0,38.9769,2.8164,1.5000,0.0000,1.0000,0.9998,1.0000,0.0428,0,0,0,0,0.0774,0.0824,0.1257,2.6785,1.9641
offline_val,drqv2_062400.pt,1996800,0,2,1,56.2929,4.8573,1.5000,0.0000,1.0000,1.0000,-0.2530,-0.0022,0,0,0,0,0.0793,0.0807,0.0017,4.9330,2.1164
offline_val,drqv2_062400.pt,1996800,0,2,2,62.3294,3.8244,1.5000,0.0000,1.0000,1.0000,-0.8275,-0.0199,0,0,0,0,0.0824,0.0774,-0.1148,4.0447,1.0531
offline_val,drqv2_062400.pt,1996800,0,2,3,-1.0000,0.0000,1.5000,0.0000,-0.0853,-0.5895,-0.4591,-0.0131,0,0,0,0,-0.0013,-0.0578,-0.0439,4.1261,-4.0505
offline_val,drqv2_062400.pt,1996800,0,2,4,187.4989,5.2610,1.5000,0.0000,1.0000,-0.9713,0.5947,-0.0114,0,0,0,0,0.0816,-0.0758,0.0796,5.5626,-2.6238
