tick,frame,fps,collect_s,learn_s,episodes,success_rate,fail_rate,timeout_rate,critic_loss,actor_loss,q1,target_q,stddev,replay_size,updates
3600,115200,25.5,0.674,30.699,0,0.0000,0.0000,0.0000,0.073989,-0.361650,0.32209,0.32241,0.27850,115200,400
3625,116000,25.5,0.679,30.729,1,0.0000,0.0000,1.0000,0.086413,-0.355761,0.31859,0.31880,0.27835,116000,400
3650,116800,25.5,0.667,30.692,0,0.0000,0.0000,0.0000,0.069388,-0.356638,0.31581,0.31571,0.27820,116800,400
3675,117600,25.5,0.663,30.720,0,0.0000,0.0000,0.0000,0.076121,-0.351262,0.31002,0.31036,0.27805,117600,400
3700,118400,25.5,0.681,30.714,1,0.0000,0.0000,1.0000,0.067275,-0.359630,0.32011,0.32045,0.27790,118400,400
3725,119200,25.5,0.688,30.725,0,0.0000,0.0000,0.0000,0.076782,-0.363100,0.32516,0.32506,0.27775,119200,400
3750,120000,25.4,0.700,30.747,27,0.0000,0.0000,1.0000,0.069520,-0.360979,0.32222,0.32246,0.27760,120000,400
3775,120800,25.5,0.659,30.711,0,0.0000,0.0000,0.0000,0.075326,-0.374263,0.33647,0.33664,0.27745,120800,400
3800,121600,25.5,0.657,30.697,0,0.0000,0.0000,0.0000,0.077498,-0.368133,0.33073,0.33098,0.27730,121600,400
3825,122400,25.4,0.683,30.788,1,0.0000,1.0000,0.0000,0.073803,-0.369811,0.33177,0.33206,0.27715,122400,400
3850,123200,25.5,0.691,30.730,1,0.0000,0.0000,1.0000,0.075341,-0.358527,0.32291,0.32267,0.27700,123200,400
3875,124000,25.5,0.665,30.728,0,0.0000,0.0000,0.0000,0.083344,-0.356940,0.31826,0.31856,0.27685,124000,400
3900,124800,25.4,0.679,30.792,0,0.0000,0.0000,0.0000,0.078324,-0.353297,0.31548,0.31516,0.27670,124800,400
3925,125600,25.5,0.672,30.734,0,0.0000,0.0000,0.0000,0.077974,-0.348331,0.31227,0.31229,0.27655,125600,400
3950,126400,25.5,0.692,30.719,2,0.5000,0.0000,0.5000,0.078978,-0.342012,0.30530,0.30539,0.27641,126400,400
3975,127200,25.5,0.673,30.662,0,0.0000,0.0000,0.0000,0.085742,-0.334579,0.29828,0.29822,0.27626,127200,400
4000,128000,25.5,0.694,30.656,1,0.0000,0.0000,1.0000,0.076781,-0.338888,0.30206,0.30222,0.27611,128000,400
4025,128800,25.5,0.661,30.677,0,0.0000,0.0000,0.0000,0.085434,-0.327419,0.29280,0.29273,0.27596,128800,400
4050,129600,25.5,0.704,30.700,1,1.0000,0.0000,0.0000,0.091823,-0.322849,0.28558,0.28511,0.27581,129600,400
4075,130400,25.5,0.672,30.706,1,0.0000,0.0000,1.0000,0.090378,-0.327424,0.29107,0.29115,0.27566,130400,400
